City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,11.51,61,1,1.34,AU,1675713500
1,rikitea,-23.1203,-134.9692,25.54,75,41,2.64,PF,1675713501
2,beloha,-25.1667,45.05,23.35,85,100,6.11,MG,1675713501
3,jamestown,42.097,-79.2353,-0.2,97,100,2.24,US,1675713501
4,chivay,-15.6383,-71.6011,9.57,93,97,2.81,PE,1675713502
5,georgetown,5.4112,100.3354,24.96,94,20,3.09,MY,1675712752
6,chokurdakh,70.6333,147.9167,-31.11,99,100,1.53,RU,1675713502
7,kabinda,-6.1333,24.4833,19.73,73,69,0.55,CD,1675713503
8,hobart,-42.8794,147.3294,11.7,82,20,2.06,AU,1675713414
9,ponta do sol,32.6667,-17.1,16.35,59,19,4.19,PT,1675713503
10,sosva,59.1766,61.8558,-22.66,100,100,1.35,RU,1675713504
11,guerrero negro,27.9769,-114.0611,16.8,56,96,10.05,MX,1675713504
12,ushuaia,-54.8,-68.3,13.81,62,75,8.23,AR,1675713504
13,vaini,-21.2,-175.2,26.44,72,100,1.6,TO,1675713505
14,umm kaddadah,13.6017,26.6876,21.09,15,88,5.88,SD,1675713505
15,morros,-9.4467,-46.3003,30.67,45,73,1.24,BR,1675713505
16,preobrazheniye,42.9019,133.9064,-8.51,62,5,2.22,RU,1675713506
17,mataura,-46.1927,168.8643,16.98,58,89,4.44,NZ,1675713506
18,cap-aux-meules,47.3821,-61.8597,-2.97,93,75,3.09,CA,1675713484
19,kapaa,22.0752,-159.319,25.18,81,40,7.72,US,1675713507
20,torbay,47.6666,-52.7314,3.55,93,100,5.14,CA,1675713507
21,carnarvon,-24.8667,113.6333,24.28,71,0,8.71,AU,1675713509
22,morondava,-20.2833,44.2833,26.23,80,100,2.34,MG,1675713509
23,tazovskiy,67.4667,78.7,-23.63,100,100,1.71,RU,1675713509
24,puerto ayora,-0.7393,-90.3518,29.98,85,48,6.26,EC,1675713334
25,punta arenas,-53.15,-70.9167,18.06,48,40,13.38,CL,1675713510
26,thompson,55.7435,-97.8558,-7.91,86,100,4.63,CA,1675713510
27,port lincoln,-34.7333,135.8667,16.85,85,0,6.62,AU,1675713511
28,atuona,-9.8,-139.0333,25.63,74,1,6.84,PF,1675713511
29,los llanos de aridane,28.6585,-17.9182,14.86,72,40,8.75,ES,1675713511
30,castro,-24.7911,-50.0119,25.92,58,28,1.71,BR,1675713265
31,hilo,19.7297,-155.09,22.84,95,100,1.79,US,1675713512
32,busselton,-33.65,115.3333,19.25,77,96,5.46,AU,1675713512
33,khatanga,71.9667,102.5,-40.46,100,56,1.74,RU,1675713513
34,presidencia roque saenz pena,-26.7852,-60.4388,40.19,14,1,1.64,AR,1675713513
35,iroquois falls,48.7669,-80.6831,-8.74,79,44,3.72,CA,1675713513
36,santa maria,-29.6842,-53.8069,31.61,40,40,2.57,BR,1675713436
37,mjolby,58.326,15.1237,0.06,80,12,3.46,SE,1675713514
38,newport,51.5877,-2.9984,6.06,89,32,0.98,GB,1675713458
39,pavlivka,49.4414,28.4596,-7.02,91,59,3.2,UA,1675713515
40,zhigansk,66.7697,123.3711,-48.23,100,71,0.44,RU,1675713515
41,san cristobal,7.7669,-72.225,28.1,47,59,2.56,VE,1675713239
42,chapais,49.7834,-74.8492,-15.12,76,14,1.95,CA,1675713516
43,avarua,-21.2078,-159.775,27.03,83,40,4.12,CK,1675713233
44,yellowknife,62.456,-114.3525,-24.71,77,20,2.06,CA,1675713517
45,hofn,64.2539,-15.2082,2.01,87,100,7.2,IS,1675713517
46,hermanus,-34.4187,19.2345,22.67,89,14,4.52,ZA,1675713518
47,saint-philippe,-21.3585,55.7679,26.77,84,75,5.08,RE,1675713518
48,bethel,41.3712,-73.414,10.17,60,100,6.17,US,1675713454
49,kodiak,57.79,-152.4072,0.73,64,0,2.06,US,1675713519
50,faanui,-16.4833,-151.75,27.28,75,8,7.22,PF,1675713519
51,albany,42.6001,-73.9662,3.71,73,95,0.89,US,1675713520
52,lodeynoye pole,60.726,33.5531,-11.88,100,86,0.91,RU,1675713520
53,tuktoyaktuk,69.4541,-133.0374,-42.0,66,75,2.06,CA,1675713520
54,avera,33.194,-82.5271,19.19,36,0,0.48,US,1675713521
55,otkaznoye,44.3264,43.8608,-2.48,95,100,4.84,RU,1675713521
56,manavalakurichi,8.1333,77.3,24.34,79,100,1.3,IN,1675713521
57,muncar,-8.4333,114.3333,23.9,89,100,2.63,ID,1675713522
58,sao joao da barra,-21.6403,-41.0511,27.05,89,96,1.64,BR,1675713522
59,shizunai,42.3339,142.3669,-3.19,74,58,3.7,JP,1675713523
60,poum,-20.2333,164.0167,27.42,83,98,6.6,NC,1675713524
61,zarubino,42.63,131.0922,-7.52,85,12,2.35,RU,1675713524
62,cape town,-33.9258,18.4232,21.62,84,20,5.66,ZA,1675713247
63,pisco,-13.7,-76.2167,28.03,65,0,8.75,PE,1675713525
64,bluff,-46.6,168.3333,15.1,80,77,8.65,NZ,1675713525
65,narsaq,60.9167,-46.05,-22.72,67,55,3.53,GL,1675713525
66,port alfred,-33.5906,26.891,21.77,91,100,0.89,ZA,1675713526
67,wanning,18.8003,110.3967,21.84,92,34,1.22,CN,1675713280
68,billings,45.7833,-108.5007,8.49,48,75,10.29,US,1675713494
69,provideniya,64.3833,-173.3,-24.11,95,91,1.93,RU,1675713526
70,byron bay,-28.65,153.6167,18.73,79,97,2.07,AU,1675713527
71,innisfail,-17.5333,146.0333,25.14,89,13,1.86,AU,1675713528
72,prince rupert,54.3161,-130.3201,5.83,92,100,5.66,CA,1675713302
73,arraial do cabo,-22.9661,-42.0278,29.92,58,40,4.12,BR,1675713528
74,rawson,-43.3002,-65.1023,27.54,33,57,10.23,AR,1675713529
75,shah alam,3.0851,101.5328,25.9,91,20,0.0,MY,1675713529
76,salalah,17.0151,54.0924,21.87,58,97,0.14,OM,1675713530
77,bredasdorp,-34.5322,20.0403,21.77,88,88,2.57,ZA,1675713530
78,noumea,-22.2763,166.4572,28.89,99,82,4.8,NC,1675713531
79,airai,-8.9266,125.4092,15.4,92,64,0.98,TL,1675713531
80,pokhara,28.2333,83.9833,13.42,67,82,1.14,NP,1675713373
81,kununurra,-15.7667,128.7333,21.99,94,38,0.0,AU,1675713284
82,nkhata bay,-11.6066,34.2907,23.76,82,100,1.94,MW,1675713532
83,lebu,-37.6167,-73.65,17.55,68,0,8.68,CL,1675713533
84,shingu,33.7333,135.9833,8.79,54,100,1.72,JP,1675713533
85,central point,42.376,-122.9164,8.55,72,0,1.54,US,1675713533
86,tasiilaq,65.6145,-37.6368,-15.91,91,100,1.66,GL,1675713534
87,kargasok,59.0556,80.8572,-18.68,100,100,1.79,RU,1675713534
88,ancud,-41.8697,-73.8203,17.02,65,0,3.26,CL,1675713534
89,revda,56.801,59.9303,-10.67,98,100,0.57,RU,1675713535
90,yulara,-25.2406,130.9889,22.37,23,0,2.63,AU,1675713535
91,vestmannaeyjar,63.4427,-20.2734,2.52,54,100,16.36,IS,1675713536
92,iskateley,67.6803,53.1512,-18.55,96,99,3.76,RU,1675713536
93,tiksi,71.6872,128.8694,-35.25,100,90,2.43,RU,1675713537
94,udala,43.0778,-2.5125,4.24,88,28,0.74,ES,1675713537
95,codrington,-38.2667,141.9667,13.47,85,37,1.71,AU,1675713537
96,tucumcari,35.1717,-103.725,17.75,17,0,9.77,US,1675713538
97,thinadhoo,0.5333,72.9333,27.15,76,100,4.43,MV,1675713538
98,tura,25.5198,90.2201,14.08,53,0,1.3,IN,1675713538
99,nyurba,63.2842,118.3319,-40.26,100,97,0.78,RU,1675713539
100,la ronge,55.1001,-105.2842,-8.86,67,100,7.2,CA,1675713539
101,moshenskoye,58.5102,34.5911,-7.53,98,100,1.38,RU,1675713540
102,erzincan,39.75,39.5,-0.24,94,100,2.7,TR,1675713540
103,ayagoz,47.9714,80.4392,-7.05,97,96,2.42,KZ,1675713540
104,butaritari,3.0707,172.7902,27.31,79,41,8.76,KI,1675713541
105,lagoa,39.05,-27.9833,13.46,71,100,11.94,PT,1675713541
106,margate,51.3813,1.3862,4.94,90,6,0.45,GB,1675713487
107,athabasca,54.7169,-113.2854,0.23,82,94,4.75,CA,1675713542
108,nipawin,53.3668,-104.0009,-1.98,64,0,9.77,CA,1675713542
109,pevek,69.7008,170.3133,-36.78,100,100,1.56,RU,1675713543
110,hasaki,35.7333,140.8333,6.23,55,100,2.79,JP,1675713543
111,barrow,71.2906,-156.7887,-21.99,77,100,1.54,US,1675713543
112,qaanaaq,77.484,-69.3632,-27.13,99,100,0.18,GL,1675713544
113,nishihara,26.1842,127.7558,19.6,88,100,6.17,JP,1675713544
114,hirara,24.8,125.2833,20.71,81,78,4.08,JP,1675713544
115,gornopravdinsk,60.05,69.9,-12.75,97,100,1.93,RU,1675713545
116,ribeira grande,38.5167,-28.7,14.32,72,40,9.77,PT,1675713545
117,the pas,53.8251,-101.2541,-4.99,80,100,13.89,CA,1675713545
118,shu,43.5983,73.7614,-1.77,92,100,2.39,KZ,1675713546
119,cherskiy,68.75,161.3,-38.17,100,100,2.57,RU,1675713546
120,medea,36.2642,2.7539,6.09,81,82,1.55,DZ,1675713547
121,kingman,35.1894,-114.053,11.77,34,0,4.02,US,1675713547
122,myaundzha,63.0494,147.1858,-38.69,98,97,1.14,RU,1675713547
123,cayenne,4.9333,-52.3333,27.02,78,75,5.66,GF,1675713548
124,hwange,-18.3693,26.5019,21.78,83,6,0.53,ZW,1675713548
125,longyearbyen,78.2186,15.6401,-1.09,93,100,12.35,SJ,1675713549
126,nguru,12.8791,10.4526,25.09,13,100,4.6,NG,1675713549
127,trapani,37.8333,12.6667,5.71,87,40,1.54,IT,1675713551
128,port elizabeth,-33.918,25.5701,23.94,93,20,3.09,ZA,1675713551
129,sur,22.5667,59.5289,21.71,64,100,2.04,OM,1675713552
130,sisimiut,66.9395,-53.6735,-19.65,92,100,2.7,GL,1675713552
131,beringovskiy,63.05,179.3167,-29.38,95,94,3.81,RU,1675713553
132,nanakuli,21.3906,-158.1547,26.97,59,20,3.6,US,1675713553
133,bambous virieux,-20.3428,57.7575,26.14,83,40,3.09,MU,1675713553
134,dikson,73.5069,80.5464,-27.21,100,100,2.58,RU,1675713554
135,shestakovo,56.4915,103.96,-15.99,99,100,1.35,RU,1675713554
136,wilmington island,32.0036,-80.9737,20.05,41,0,3.09,US,1675713555
137,fuyu,45.1833,124.8167,-16.44,92,5,1.72,CN,1675713555
138,izumo,35.3667,132.7667,3.97,77,100,2.06,JP,1675713556
139,udalguri,26.7667,92.1333,16.28,57,18,1.39,IN,1675713556
140,brewster,41.3973,-73.6171,9.06,66,100,6.17,US,1675713494
141,palmas bellas,9.2319,-80.0867,27.91,72,22,5.8,PA,1675713557
142,bambanglipuro,-7.95,110.2833,23.88,92,100,3.34,ID,1675713557
143,muisne,0.6,-80.0333,27.31,74,45,5.0,EC,1675713558
144,norman wells,65.282,-126.8329,-26.98,76,75,0.0,CA,1675713558
145,bonavista,48.6499,-53.1147,-3.31,93,100,6.37,CA,1675713558
146,leningradskiy,69.3833,178.4167,-34.49,98,98,3.62,RU,1675713559
147,edd,13.9297,41.6925,27.06,53,77,7.51,ER,1675713559
148,saint george,37.1041,-113.5841,9.68,51,0,2.57,US,1675713560
149,jati,24.3539,68.2671,21.46,58,0,3.52,PK,1675713560
150,abu samrah,35.3029,37.1841,6.84,72,83,10.66,SY,1675713561
151,constitucion,-35.3333,-72.4167,21.45,62,23,6.62,CL,1675713561
152,belaya gora,68.5333,146.4167,-31.13,99,100,1.07,RU,1675713561
153,san jeronimo,-11.9472,-75.2829,16.66,53,99,3.25,PE,1675713562
154,vila franca do campo,37.7167,-25.4333,14.23,97,100,1.06,PT,1675713562
155,kavieng,-2.5744,150.7967,27.27,79,100,5.66,PG,1675713563
156,salinopolis,-0.6136,-47.3561,26.09,88,96,4.69,BR,1675713564
157,ipora,-16.4419,-51.1178,28.18,64,77,1.3,BR,1675713565
158,hithadhoo,-0.6,73.0833,27.37,71,45,4.96,MV,1675713565
159,berbera,10.4396,45.0143,24.46,67,93,2.76,SO,1675713566
160,russell,32.3502,-85.1999,21.06,32,0,1.54,US,1675713566
161,koungou,-12.7336,45.2042,25.84,89,0,0.51,YT,1675713567
162,bada,51.392,109.8717,-16.86,96,98,1.95,RU,1675713567
163,itarema,-2.9248,-39.9167,27.01,75,100,4.98,BR,1675713567
164,dolovo,44.9011,20.8775,-3.05,70,0,3.06,RS,1675713568
165,mirnyy,62.5353,113.9611,-34.87,74,98,0.89,RU,1675713569
166,tuatapere,-46.1333,167.6833,15.56,77,87,2.66,NZ,1675713569
167,cabo san lucas,22.8909,-109.9124,26.45,53,21,1.79,MX,1675713442
168,aitape,-3.1374,142.3475,24.72,91,100,2.04,PG,1675713570
169,iqaluit,63.7506,-68.5145,-31.15,62,40,4.63,CA,1675713570
170,banda aceh,5.5577,95.3222,25.46,82,99,0.66,ID,1675713571
171,ixtapa,20.7,-105.2,33.89,20,0,3.53,MX,1675713571
172,bengkulu,-3.8004,102.2655,24.15,86,74,3.32,ID,1675713571
173,nikolskoye,59.7035,30.7861,-2.06,97,92,2.29,RU,1675713572
174,deputatskiy,69.3,139.9,-34.15,98,100,1.85,RU,1675713572
175,ossora,59.2353,163.0719,-26.45,92,100,2.23,RU,1675713573
176,alofi,-19.0595,-169.9187,24.94,94,79,2.06,NU,1675713573
177,coquimbo,-29.9533,-71.3436,20.85,73,40,5.14,CL,1675713573
178,talnakh,69.4865,88.3972,-23.22,99,100,2.28,RU,1675713441
179,lavrentiya,65.5833,-171.0,-26.5,88,100,2.12,RU,1675713574
180,horsham,51.064,-0.3272,6.25,76,0,1.03,GB,1675713374
181,kapit,2.0167,112.9333,23.05,99,100,0.8,MY,1675713575
182,faya,18.3851,42.4509,14.06,63,100,1.47,SA,1675713575
183,encruzilhada do sul,-30.5439,-52.5219,29.8,34,39,2.35,BR,1675713496
184,erenhot,43.6475,111.9767,-8.22,91,100,3.54,CN,1675713576
185,puerto carreno,6.189,-67.4859,29.99,58,90,4.12,CO,1675713577
186,kozhva,65.1073,57.0459,-22.34,100,93,1.93,RU,1675713577
187,tlalnepantla,19.5269,-99.2217,25.31,15,33,2.45,MX,1675713578
188,porterville,36.0652,-119.0168,11.51,81,100,0.0,US,1675713487
189,anadyr,64.75,177.4833,-26.67,75,75,5.0,RU,1675713578
190,chuy,-33.6971,-53.4616,27.17,46,100,4.41,UY,1675713578
191,horve,55.7529,11.453,-0.04,88,4,3.53,DK,1675713579
192,uruzgan,32.8333,66.0,2.29,54,39,3.6,AF,1675713579
193,esil,51.9556,66.4042,-14.09,97,87,2.73,KZ,1675713580
194,cotonou,6.3654,2.4183,28.99,79,20,6.17,BJ,1675713545
195,tupiza,-21.45,-65.7167,16.79,51,99,4.55,BO,1675713580
196,santa cruz del norte,23.1539,-81.9236,26.28,69,14,5.62,CU,1675713581
197,sagua la grande,22.8067,-80.0756,28.53,53,22,5.53,CU,1675713581
198,tiznit,29.5833,-9.5,10.55,69,7,1.32,MA,1675713581
199,magadan,59.5667,150.8,-27.06,79,66,3.65,RU,1675713582
200,victoria,22.2855,114.1577,20.53,90,98,4.02,HK,1675713426
201,balabac,7.9868,117.0645,26.18,83,77,3.92,PH,1675713582
202,paamiut,61.994,-49.6678,-11.01,82,100,2.3,GL,1675713583
203,cartagena,10.3997,-75.5144,30.79,66,20,7.2,CO,1675713318
204,katsuura,35.1333,140.3,10.19,65,100,2.36,JP,1675713583
205,sarangani,5.4033,125.4636,26.88,76,100,3.64,PH,1675713584
206,xichang,27.8964,102.2634,6.02,61,4,1.37,CN,1675713584
207,bubaque,11.2833,-15.8333,24.52,68,5,9.51,GW,1675713585
208,saint-augustin,51.226,-58.6502,-14.72,77,86,3.29,CA,1675713585
209,fuling,29.7022,107.3919,13.04,69,91,0.93,CN,1675713585
210,vallenar,-28.5708,-70.7581,30.55,35,0,4.83,CL,1675713586
211,ilulissat,69.2167,-51.1,-21.54,98,100,2.17,GL,1675713586
212,ruwi,23.5996,58.5507,22.28,58,77,0.47,OM,1675713587
213,villarrica,-25.75,-56.4333,38.14,17,16,1.35,PY,1675713587
214,luderitz,-26.6481,15.1594,18.37,90,9,5.96,NA,1675713588
215,panguna,-6.3164,155.4848,20.17,95,100,0.98,PG,1675713588
216,phan thong,13.468,101.0953,27.79,83,45,3.09,TH,1675713588
217,muromtsevo,56.3724,75.2418,-14.01,98,100,1.87,RU,1675713589
218,ibra,22.6906,58.5334,19.91,55,34,0.6,OM,1675713589
219,mersing,2.4312,103.8405,24.34,90,100,4.03,MY,1675713590
220,saskylakh,71.9167,114.0833,-30.08,100,99,1.65,RU,1675713590
221,tautira,-17.7333,-149.15,26.82,76,44,6.82,PF,1675713399
222,lasa,46.6166,10.7002,2.49,96,89,1.65,IT,1675713590
223,kamenka,51.3223,42.7678,-14.29,93,57,2.97,RU,1675713591
224,upernavik,72.7868,-56.1549,-23.24,93,100,4.12,GL,1675713591
225,east london,-33.0153,27.9116,24.5,84,0,8.4,ZA,1675713591
226,rincon,32.296,-81.2354,19.98,37,0,0.89,US,1675713592
227,portland,45.5234,-122.6762,9.99,84,75,5.66,US,1675713135
228,inirida,3.8653,-67.9239,29.64,67,61,0.28,CO,1675713592
229,znamenskoye,57.1281,73.8282,-17.3,100,100,1.23,RU,1675713593
230,pacific grove,36.6177,-121.9166,14.66,69,0,4.02,US,1675713565
231,middle island,40.8843,-72.9373,11.06,58,0,9.77,US,1675713593
232,haines junction,60.7522,-137.5108,0.97,37,64,6.17,CA,1675713594
233,menongue,-14.6585,17.691,17.79,82,100,1.77,AO,1675713594
234,kolokani,13.5728,-8.0339,28.55,12,99,4.03,ML,1675713595
235,fortuna,40.5982,-124.1573,11.07,74,0,3.6,US,1675713069
236,sabang,5.8933,95.3214,26.34,79,84,2.79,ID,1675713595
237,padang,-0.9492,100.3543,24.95,80,100,1.78,ID,1675713596
238,martapura,-3.4167,114.85,24.05,100,100,2.57,ID,1675713596
239,vila velha,-20.3297,-40.2925,28.97,79,40,3.09,BR,1675713469
240,plettenberg bay,-34.0527,23.3716,21.06,97,90,0.27,ZA,1675713597
241,mitsamiouli,-11.3847,43.2844,27.11,83,99,4.82,KM,1675713598
242,sao filipe,14.8961,-24.4956,20.72,61,7,7.69,CV,1675713598
243,gorontalo,0.5412,123.0595,23.86,88,100,1.38,ID,1675713347
244,lagunas,-5.2269,-75.6753,30.39,55,100,1.36,PE,1675713599
245,saint-francois,46.4154,3.9054,4.69,65,100,4.63,FR,1675713599
246,tongliao,43.6125,122.2653,-10.99,65,91,2.84,CN,1675713599
247,cururupu,-1.8283,-44.8683,26.41,85,100,2.42,BR,1675713333
248,kerman,30.2832,57.0788,13.92,23,0,6.17,IR,1675713600
249,ranong,9.9658,98.6348,23.17,89,64,2.09,TH,1675713600
250,klaksvik,62.2266,-6.589,6.51,91,100,9.54,FO,1675713601
251,marrakesh,31.6315,-8.0083,17.04,29,40,2.06,MA,1675713602
252,dhana,23.75,78.85,17.96,35,0,2.23,IN,1675713603
253,belyy yar,53.6039,91.3903,-23.97,81,40,0.0,RU,1675713607
254,xining,36.6167,101.7667,-3.96,46,100,1.07,CN,1675713610
255,kambove,-10.8764,26.5969,15.68,95,83,1.75,CD,1675713610
256,bemidji,47.4736,-94.8803,3.83,74,100,7.2,US,1675713609
257,grootfontein,-19.5667,18.1167,23.76,69,99,1.54,NA,1675713611
258,ginda,30.6945,78.4932,4.24,53,5,3.81,IN,1675713612
259,lorengau,-2.0226,147.2712,25.87,90,100,4.99,PG,1675713612
260,ouallam,14.3188,2.0866,29.34,13,100,3.81,NE,1675713612
261,safaga,26.7292,33.9365,14.58,34,62,4.55,EG,1675713614
262,betanzos,43.2804,-8.2147,10.61,65,0,2.57,ES,1675713614
263,vostok,46.4856,135.8833,-20.57,98,100,2.16,RU,1675713615
264,emerald,-23.5333,148.1667,23.52,93,37,3.35,AU,1675713615
265,roald,62.5833,6.1333,9.51,71,75,8.75,NO,1675713616
266,say,13.1007,2.3689,32.31,12,100,4.3,NE,1675713616
267,srednekolymsk,67.45,153.6833,-39.16,100,100,2.99,RU,1675713617
268,eureka,40.8021,-124.1637,11.78,78,99,1.34,US,1675713609
269,birao,10.2849,22.7882,25.68,12,84,2.82,CF,1675713618
270,mogok,22.9167,96.5,12.26,40,0,1.39,MM,1675713619
271,tocopilla,-22.092,-70.1979,23.8,75,39,3.07,CL,1675713619
272,mount gambier,-37.8333,140.7667,11.99,93,10,2.09,AU,1675713620
273,pangnirtung,66.1451,-65.7125,-35.0,68,20,1.03,CA,1675713621
274,riyadh,24.6877,46.7219,23.08,38,28,4.68,SA,1675713527
275,gwanda,-20.9333,29.0,22.62,45,6,2.67,ZW,1675713623
276,kurchum,48.5722,83.6542,-10.8,97,99,1.1,KZ,1675713623
277,fairbanks,64.8378,-147.7164,-13.28,78,40,0.0,US,1675713386
278,kruisfontein,-34.0033,24.7314,22.71,91,76,0.63,ZA,1675713624
279,husavik,66.0449,-17.3389,-1.2,77,75,6.21,IS,1675713624
280,portobelo,9.55,-79.65,26.73,82,36,5.87,PA,1675713625
281,clyde river,70.4692,-68.5914,-32.87,68,20,2.06,CA,1675713626
282,davlekanovo,54.2215,55.0343,-12.14,98,100,0.96,RU,1675713626
283,vanimo,-2.6741,141.3028,24.8,90,100,1.98,PG,1675713627
284,maharajganj,27.1333,83.5667,12.09,60,0,1.93,IN,1675713316
285,beaufort,5.3473,115.7455,23.12,95,78,1.28,MY,1675713627
